,GEOG,MEDINC,IN_LBFRC,EMP,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,OTHER,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,TOT_POP,TOT_HH,WHITE,HISP,BLACK,ASIAN,2010_POP,2000_POP,YEAR
0,Albany Park,47864.92398,30371.0,27319.0,3175.0,185.0,2884.0,4267.0,7668.0,1918.19111,4888.0,7604.0,4155.0,1284.0,282.0,185.0,6138.0,10666.0,1409.0,53897.0,16804.0,15844.0,28257.0,2177.0,6710.0,57655,51542,2014
1,Archer Heights,42655.16006,6577.794476,5496.034931,2118.743215,72.89979123,1182.336117,552.7348643,227.8246347,1948.142824,266.0,1516.659708,1656.893528,469.9853862,297.0,17.0,2403.397321,1331.125,471.6617954,13408.35388,3734.522321,2995.06163,9916.870775,210.4691849,209.9522863,12644,13393,2014
2,Armour Square,21743.57846,7061.186642,5880.601113,438.0930889,783.9732017,651.977433,1111.607898,2759.094499,1970.598197,1643.909732,1751.654443,1903.320169,302.1636107,152.8039492,65.87521764,1893.885321,3480.917431,380.2750353,13764.29367,5374.802752,1560.087638,651.8769588,1680.0,9201.634939,12032,13391,2014
3,Ashburn,67963.90803,21367.0,18862.0,11837.0,69.0,127.0,596.0,803.0,1956.984737,278.0,2302.0,7703.0,2488.0,677.0,78.0,11000.0,1780.0,668.0,42788.0,12780.0,7152.0,13148.0,22047.0,121.0,39584,41081,2014
4,Auburn Gresham,30899.9472,21481.0,15369.0,8470.0,631.0,3941.0,4105.0,3529.0,1933.571259,4049.0,6571.0,6684.0,2311.0,1103.0,208.0,8009.0,9164.0,3545.0,49634.0,17173.0,135.0,484.0,48680.0,77.0,55928,48743,2014
5,Austin,31885.40373,43381.0,33554.0,9318.0,611.0,11825.0,7885.0,8868.0,1926.111977,8036.0,14202.0,11228.0,3186.0,1954.0,528.0,12818.0,19610.0,6178.0,98162.0,32428.0,4463.0,8756.0,83844.0,351.0,117527,98514,2014
6,Avalon Park,45465.43448,4824.076865,3806.393912,2951.083189,177.762565,411.3986135,405.2530329,441.6135182,1944.667985,554.6343154,1235.738302,1711.305026,730.4332756,155.0,44.0,2605.306043,1251.444444,531.7608319,9589.472892,3856.750487,167.0527108,29.0,9269.78238,34.0,11147,10185,2014
7,Avondale,46352.70125,23591.0,21415.0,2563.0,487.0,4805.0,4386.0,2968.0,1904.943252,2696.0,6844.0,4289.0,822.0,631.0,256.0,5774.0,8027.0,1481.0,41542.0,13801.0,11010.0,27177.0,1110.0,1289.0,43083,39262,2014
8,Belmont Cragin,42307.42733,38818.67884,33132.70385,8928.693219,281.7728741,5884.385361,5897.256189,2998.248654,1931.163294,3839.706136,9764.14747,6443.087191,2170.707212,1900.836383,268.7818854,10457.12829,11087.69187,2572.962325,77833.43771,21544.82016,11878.39482,59946.75416,3819.491682,991.4513863,78144,78743,2014
9,Beverly,87451.05233,10899.0,10026.0,6395.0,157.0,483.0,193.0,1088.0,1940.151316,819.0,1508.0,3225.0,1972.0,792.0,48.0,6296.0,1409.0,611.0,21226.0,7705.0,12358.0,1092.0,7366.0,61.0,21992,20034,2014
