,GEOG,2000_POP,2010_POP,TOT_POP,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,YEAR
0,Albany Park,57655,51542,52930,15421,26892,2017,7387,1213,29932,26928,53029.6457,16426,6433,9993,1578,3411,137,3433,3961,7018,,4374,7309,4753,1227,341,2016
1,Archer Heights,12644,13393,13971,2884,10568,109,330,79,6958,5963,42211.53846,3918,2259,1659,305,1912,81,1117,855,224,,353,1537,1684,395,255,2016
2,Armour Square,12032,13391,13907,1636,551,1479,9772,469,7092,6022,23805.24862,5167,1849,3317,496,395,779,652,1202,2625,,1498,1760,1892,381,130,2016
3,Ashburn,39584,41081,42809,6232,15384,20584,195,414,21841,18999,66017.96407,12722,10834,1888,743,11798,70,180,547,859,,346,2219,7632,2411,857,2016
4,Auburn Gresham,55928,48743,47611,175,672,46204,126,434,20445,14671,30000.0,17158,7445,9713,3330,8300,438,3999,3838,3869,,3777,6802,6791,2212,906,2016
5,Austin,117527,98514,99711,4213,10249,83987,475,787,41807,32579,31434.91124,32277,12625,19652,5520,10036,647,10881,7340,8814,,7232,13760,11441,3355,2009,2016
6,Avalon Park,11147,10185,10071,219,59,9695,30,68,4911,3820,44583.33333,3833,2641,1191,605,2933,243,329,434,498,,745,1062,1619,667,343,2016
7,Avondale,43083,39262,39117,12629,23537,873,1297,781,21525,19685,44447.3342,13560,5202,8358,1557,2528,485,4538,4529,2975,,2688,7226,3883,817,503,2016
8,Belmont Cragin,78144,78743,79022,11228,62768,2802,1272,952,39676,34013,43223.47267,21480,10548,10933,2687,8815,347,6155,5728,3021,,3580,10059,6822,2095,1612,2016
9,Beverly,21992,20034,21002,11761,1169,7601,83,388,11138,10310,92814.37126,7526,6154,1372,503,6241,91,388,203,1102,,857,1425,3043,1901,803,2016
10,Bridgeport,33694,31977,31882,10411,8933,874,10846,818,18180,15780,41819.06615,12132,5408,6725,1548,3819,505,3482,3556,2266,,2070,5331,4552,1246,483,2016
11,Brighton Park,44912,45368,44130,2950,37509,577,3032,62,20895,17802,35754.06032,11984,5570,6414,2089,3453,194,6229,3639,520,,1278,6180,4950,1009,656,2016
12,Burnside,3294,2916,2618,0,0,2618,0,0,1084,909,25480.76923,901,456,445,351,649,35,229,160,168,,257,274,521,181,19,2016
13,Calumet Heights,15974,13812,13400,269,519,12462,19,131,6068,4781,52761.62791,5325,4146,1179,650,4489,122,600,450,277,,347,1471,2982,915,260,2016
14,Chatham,37275,31028,31520,203,230,30662,90,335,15251,11802,33976.74419,13480,5027,8454,3121,5244,609,1756,3248,5725,,4747,5686,4523,1278,369,2016
15,Chicago Lawn,61412,55628,56293,1854,25583,27974,421,461,24825,19258,32789.91597,15836,6945,8891,2989,8107,125,3956,3526,3069,,3321,5533,6745,2038,1188,2016
16,Clearing,22331,23139,24452,11776,12005,167,345,159,13217,11858,60284.62998,8440,6116,2324,691,5295,548,547,875,1834,,913,2681,4147,997,393,2016
17,Douglas,26470,18238,19430,2329,426,13815,2540,320,9572,7815,32530.76923,9071,1718,7353,1374,682,690,304,506,8263,,4988,3244,1468,622,123,2016
18,Dunning,42164,41932,43053,29060,11255,694,1583,461,24081,21828,61181.99663,15301,11392,3909,1056,10513,580,1201,1163,2825,,1562,6120,6010,1987,678,2016
19,East Garfield Park,20881,20567,20262,827,680,18535,59,162,6933,5504,22313.89578,6880,1600,5280,1761,951,409,2181,2533,2563,,1810,2621,3034,877,300,2016
20,East Side,23653,23042,23700,4074,19121,398,34,73,11141,9140,43720.62663,6710,4648,2062,1042,4750,213,1796,831,136,,348,2316,3768,905,415,2016
21,Edgewater,62198,56521,55276,30151,9007,7685,6482,1951,34371,31169,44482.8156,28669,11005,17664,3448,1996,390,2175,2808,24733,,17606,9151,4117,818,425,2016
22,Edison Park,11328,11187,10844,9560,854,117,216,98,6017,5612,80651.1471,4425,3479,945,429,3280,68,143,196,1166,,534,1642,1708,693,276,2016
23,Englewood,40222,30654,27297,226,543,26054,73,401,10347,6536,18959.58084,9361,2666,6695,5011,3235,309,5197,2271,3329,,2627,4721,4876,1380,768,2016
24,Forest Glen,18165,18508,18501,13292,2358,31,2551,268,9448,8864,94822.69504,6682,5924,759,474,5848,290,329,279,411,,359,1609,3590,1243,356,2016
25,Fuller Park,3420,2876,2621,84,216,2294,14,14,1078,692,17218.04511,1131,383,752,418,317,67,498,194,464,,522,398,455,110,69,2016
26,Gage Park,39193,39894,40381,1421,37260,1336,333,31,19415,16275,37940.95665,9451,5150,4301,1054,4946,63,2568,2073,826,,1292,3656,3747,1026,784,2016
27,Garfield Ridge,36101,34513,34724,17160,15297,1461,507,299,17982,15818,62042.22573,11933,9787,2155,731,10440,253,545,633,764,,732,2619,6855,1699,768,2016
28,Grand Boulevard,28006,21929,22283,702,474,20526,102,479,10624,8142,30917.72152,9790,2543,7347,2265,986,626,851,3394,6281,,3398,3398,3737,1226,396,2016
29,Greater Grand Crossing,38619,32602,32849,419,602,31332,20,476,14341,10642,26076.61823,12032,3966,8066,3719,4401,266,4360,2707,3991,,3435,5630,4565,1551,570,2016
30,Hegewisch,9781,9426,9377,3983,4914,408,16,56,4321,3915,50000.0,3558,2693,865,354,2501,23,720,250,162,,253,1058,1820,617,164,2016
31,Hermosa,26908,25010,24836,1814,22174,377,204,267,12987,11382,37494.63519,6923,2739,4184,953,2143,34,2346,2404,908,,1285,3217,2368,668,338,2016
32,Humboldt Park,65836,56323,54515,2863,28095,22604,270,683,22761,18769,32484.30493,16434,5809,10625,3278,3925,211,6801,5322,3443,,3787,7304,6221,1600,800,2016
33,Hyde Park,29920,25681,26705,12298,1681,8519,3242,965,14434,13225,48724.87437,12445,4381,8064,2011,659,950,94,1316,11412,,6699,3465,2697,1209,386,2016
34,Irving Park,58643,53359,56490,22492,26558,1646,4287,1507,32025,29088,48858.74068,20313,9146,11167,2130,5482,488,4976,4214,7255,,5042,9326,5397,1736,942,2016
35,Jefferson Park,25859,25448,26975,18362,5374,340,2341,558,14616,13108,62420.63492,10115,6419,3696,878,5134,95,2473,1718,1563,,1627,4188,3509,1173,496,2016
36,Kenwood,18363,17841,18217,3236,701,12362,1492,426,9283,7979,39631.57895,9130,2748,6382,1381,741,692,195,648,8219,,3979,3496,1962,704,370,2016
37,Lake View,94817,94368,97968,78123,7133,3430,6639,2643,73702,70518,75959.74147,52225,19467,32758,4976,3647,1557,3577,8641,39635,,26102,18421,8993,2686,999,2016
38,Lincoln Park,64320,64116,65951,53345,4771,2691,3633,1511,44369,42252,89279.35943,32271,14092,18179,3366,3302,3341,1642,5285,21981,,15349,10644,6186,2258,1200,2016
39,Lincoln Square,44574,39493,39547,25865,6236,1525,4738,1183,25806,23757,62536.71072,17723,6797,10926,1726,2697,494,2719,3471,10048,,6856,7015,4036,1006,536,2016
40,Logan Square,82715,72791,73163,31332,34648,3917,1789,1477,44252,41082,55769.06506,28798,10712,18086,3163,4701,994,6976,8754,10496,,7018,13649,8465,1807,1022,2016
41,Lower West Side,44031,35769,34979,4303,28661,1294,383,338,18968,16252,35115.8147,11901,3071,8830,2001,1545,172,3466,4650,4069,,2895,6782,3370,520,335,2016
42,McKinley Park,15962,15612,16449,3104,9487,446,3185,227,8336,7171,42484.7561,5135,2963,2172,499,1886,245,1756,1083,647,,383,2224,2387,406,234,2016
43,Montclare,12646,13426,12887,4072,7503,466,741,105,6381,5595,41592.52669,4429,2499,1929,528,2266,123,917,634,1016,,921,2096,1347,362,230,2016
44,Morgan Park,25226,22544,23220,6938,625,15132,52,473,10810,9187,61446.85039,7955,5880,2075,1050,6366,534,326,512,1200,,759,2249,3769,1695,534,2016
45,Mount Greenwood,18820,19093,18357,15870,1040,826,410,211,9572,8734,89728.31268,6416,5611,805,573,6094,63,35,169,611,,427,1830,3447,992,293,2016
46,Near North Side,72811,80484,84305,60299,4828,7908,9031,2239,58372,54436,83626.34787,52964,21830,31134,9737,1276,1876,567,1752,57196,,35835,17925,7365,1219,357,2016
