,GEOG,MEDINC,IN_LBFRC,EMP,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,OTHER,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,TOT_POP,TOT_HH,WHITE,HISP,BLACK,ASIAN,2010_POP,2000_POP,YEAR,EMP_RATE,WHITE_PCT,HISP_PCT,BLACK_PCT,ASIAN_PCT,OTHER_PCT,OWN_OCC_HU_PCT,RENT_OCC_HU_PCT,VAC_HU_PCT
0,Albany Park,47864.92398,30371.0,27319.0,3175.0,185.0,2884.0,4267.0,7668.0,1918.19111,4888.0,7604.0,4155.0,1284.0,282.0,185.0,6138.0,10666.0,1409.0,53897.0,16804.0,15844.0,28257.0,2177.0,6710.0,57655,51542,2014,0.8995094004148695,0.29396812438540176,0.5242777891162773,0.040391858545002504,0.12449672523517079,0.003432473050448077,0.36527017376815046,0.6347298262318496,0.08384908355153535
1,Archer Heights,42655.16006,6577.794476,5496.034931,2118.743215,72.89979123,1182.336117,552.7348643,227.8246347,1948.142824,266.0,1516.659708,1656.893528,469.9853862,297.0,17.0,2403.397321,1331.125,471.6617954,13408.35388,3734.522321,2995.06163,9916.870775,210.4691849,209.9522863,12644,13393,2014,0.8355437299011165,0.2233728059987629,0.7396038964777083,0.015696869786076977,0.015658319296984424,0.0012678662982901522,0.643562178617917,0.356437821382083,0.1262977577474225
2,Armour Square,21743.57846,7061.186642,5880.601113,438.0930889,783.9732017,651.977433,1111.607898,2759.094499,1970.598197,1643.909732,1751.654443,1903.320169,302.1636107,152.8039492,65.87521764,1893.885321,3480.917431,380.2750353,13764.29367,5374.802752,1560.087638,651.8769588,1680.0,9201.634939,12032,13391,2014,0.8328063555241739,0.1133430944880443,0.047360000769294835,0.12205493723674672,0.6685148660447028,0.004785949734825733,0.352363688192143,0.6476363118078571,0.07075144016373386
3,Ashburn,67963.90803,21367.0,18862.0,11837.0,69.0,127.0,596.0,803.0,1956.984737,278.0,2302.0,7703.0,2488.0,677.0,78.0,11000.0,1780.0,668.0,42788.0,12780.0,7152.0,13148.0,22047.0,121.0,39584,41081,2014,0.8827631394206019,0.16714966813125176,0.30728241563055064,0.5152612882116481,0.0028278956716836496,0.001822941011498551,0.8607198748043818,0.13928012519561817,0.05226917057902973
4,Auburn Gresham,30899.9472,21481.0,15369.0,8470.0,631.0,3941.0,4105.0,3529.0,1933.571259,4049.0,6571.0,6684.0,2311.0,1103.0,208.0,8009.0,9164.0,3545.0,49634.0,17173.0,135.0,484.0,48680.0,77.0,55928,48743,2014,0.7154694846608631,0.0027199097392916144,0.009751380102349196,0.980779304509006,0.0015513559253737357,0.0041906757464641176,0.4663716298841204,0.5336283701158796,0.20642869620916554
5,Austin,31885.40373,43381.0,33554.0,9318.0,611.0,11825.0,7885.0,8868.0,1926.111977,8036.0,14202.0,11228.0,3186.0,1954.0,528.0,12818.0,19610.0,6178.0,98162.0,32428.0,4463.0,8756.0,83844.0,351.0,117527,98514,2014,0.773472257439893,0.045465658808907725,0.08919948656302847,0.8541390762209409,0.0035757217660601862,0.0053788635113384,0.3952756876773159,0.6047243123226841,0.19051437029727397
6,Avalon Park,45465.43448,4824.076865,3806.393912,2951.083189,177.762565,411.3986135,405.2530329,441.6135182,1944.667985,554.6343154,1235.738302,1711.305026,730.4332756,155.0,44.0,2605.306043,1251.444444,531.7608319,9589.472892,3856.750487,167.0527108,29.0,9269.78238,34.0,11147,10185,2014,0.7890408918681274,0.01742042682443614,0.0030241495363309487,0.9666623478057172,0.0035455546288018017,0.0045883648137435085,0.6755184323646914,0.32448156763530867,0.13787794509715193
7,Avondale,46352.70125,23591.0,21415.0,2563.0,487.0,4805.0,4386.0,2968.0,1904.943252,2696.0,6844.0,4289.0,822.0,631.0,256.0,5774.0,8027.0,1481.0,41542.0,13801.0,11010.0,27177.0,1110.0,1289.0,43083,39262,2014,0.9077614344453393,0.26503297867218717,0.6542053825044534,0.026719946078667373,0.031028838284146164,0.0061624380145395025,0.41837548003767844,0.5816245199623216,0.10731106441562206
8,Belmont Cragin,42307.42733,38818.67884,33132.70385,8928.693219,281.7728741,5884.385361,5897.256189,2998.248654,1931.163294,3839.706136,9764.14747,6443.087191,2170.707212,1900.836383,268.7818854,10457.12829,11087.69187,2572.962325,77833.43771,21544.82016,11878.39482,59946.75416,3819.491682,991.4513863,78144,78743,2014,0.8535247679748186,0.15261300502051278,0.7701928107474311,0.0490726324620411,0.01273811636065792,0.0034532958238521574,0.4853662370974277,0.5146337629025723,0.11942370861730135
9,Beverly,87451.05233,10899.0,10026.0,6395.0,157.0,483.0,193.0,1088.0,1940.151316,819.0,1508.0,3225.0,1972.0,792.0,48.0,6296.0,1409.0,611.0,21226.0,7705.0,12358.0,1092.0,7366.0,61.0,21992,20034,2014,0.9199009083402147,0.5822104965608217,0.0514463393950815,0.34702723075473474,0.0028738339771977764,0.0022613775558277586,0.8171317326411421,0.1828682673588579,0.07929915639195327
10,Bridgeport,44415.54918,18489.81336,15951.39889,3866.906911,536.0267983,3542.022567,3622.392102,2462.905501,1916.687716,2179.090268,5732.345557,4640.679831,993.8363893,513.1960508,166.1247824,5722.114679,6402.082569,1933.724965,32375.70633,12124.19725,10737.91236,9256.123041,635.0,10749.36506,33694,31977,2014,0.8627128126943949,0.3316657326499786,0.2858971769342708,0.019613471703985523,0.3320194762836546,0.005131155462886853,0.4719582303892326,0.528041769445808,0.1594930307653977
11,Brighton Park,37593.37793,20610.0,17731.0,3835.0,168.0,5744.0,3468.0,559.0,1913.229245,1094.0,6011.0,4948.0,1095.0,662.0,36.0,5307.0,6265.0,2238.0,44148.0,11572.0,3625.0,37203.0,568.0,2718.0,44912,45368,2014,0.8603105288694808,0.08211017486635862,0.8426882304974178,0.012865814985956328,0.06156564283772764,0.0008154389779831476,0.4586069823712409,0.541393017628759,0.19339785689595576
12,Burnside,26343.01493,1450.0,1181.0,730.0,23.0,196.0,120.0,184.0,1948.181818,229.0,220.0,540.0,223.0,52.0,0.0,580.0,476.0,208.0,3508.0,1056.0,20.0,0.0,3488.0,0.0,3294,2916,2014,0.8144827586206896,0.005701254275940707,0.0,0.9942987457240593,0.0,0.0,0.5492424242424242,0.45075757575757575,0.19696969696969696
13,Calumet Heights,55616.82957,6450.0,5159.0,4687.0,135.0,655.0,443.0,191.0,1952.714589,340.0,1602.0,3024.0,987.0,198.0,31.0,4377.0,1209.0,565.0,14382.0,5586.0,195.0,601.0,13487.0,14.0,15974,13812,2014,0.7998449612403101,0.013558614935335837,0.04178834654429148,0.9377694340147407,0.0009734390209984703,0.0021554721179251842,0.7835660580021482,0.21643394199785176,0.10114572144647332
14,Chatham,30572.34821,15154.92314,11516.60609,5288.916811,758.237435,1752.601386,4096.746967,5118.386482,1945.686071,5070.365685,5542.261698,4621.694974,1465.566724,363.0,43.0,5201.693957,8910.555556,2949.239168,33271.52711,14112.24951,178.9472892,158.0,32442.21762,23.0,37275,31028,2014,0.7599250740904779,0.005378391217462816,0.004748805171389682,0.975074498767123,0.00069128176545546,0.0012923963441123817,0.3685942452558012,0.6314057549567801,0.20898434129230473
15,Chicago Lawn,34480.19437,22746.0,18860.0,8290.0,185.0,4080.0,2924.0,3537.0,1948.166667,3471.0,6121.0,6283.0,2057.0,1112.0,57.0,6869.0,8547.0,3628.0,54807.0,15416.0,1900.0,22881.0,29311.0,439.0,61412,55628,2014,0.8291567748175503,0.03466710456693488,0.4174831682084405,0.5348039484007517,0.008009925739412848,0.0010400131370080464,0.44557602490918524,0.5544239750908148,0.23533990659055526
16,Clearing,56587.63292,12434.0,11250.0,5431.0,622.0,530.0,787.0,1797.0,1960.2677,964.0,2389.0,4440.0,1072.0,309.0,48.0,6346.0,2043.0,785.0,22716.0,8389.0,11775.0,10460.0,121.0,184.0,22331,23139,2014,0.9047772237413544,0.5183571051241416,0.460468392322592,0.005326642014439162,0.008100017608733932,0.0021130480718436345,0.756466801764215,0.24353319823578495,0.09357491953748957
17,Douglas,33301.22642,9641.0,7890.0,688.0,707.0,306.0,431.0,8564.0,1962.442405,5116.0,3278.0,1599.0,595.0,138.0,41.0,1875.0,7135.0,1716.0,19098.0,9010.0,2271.0,570.0,13686.0,2335.0,26470,18238,2014,0.8183798361165854,0.11891297518064718,0.029846057178762174,0.7166195413132265,0.12226411142528014,0.002146821656717981,0.2081021087680355,0.7918978912319645,0.1904550499445061
18,Dunning,61440.6507,24019.0,21611.0,10585.0,596.0,1393.0,1061.0,2454.0,1952.233704,2018.0,5370.0,5916.0,2024.0,817.0,242.0,11475.0,3666.0,1004.0,42115.0,15141.0,29975.0,9706.0,426.0,1617.0,42164,41932,2014,0.8997460343894417,0.7117416597411849,0.23046420515255847,0.010115160869049032,0.03839487118603823,0.005746171197910484,0.7578759659203487,0.24212403407965127,0.06631001915329239
19,East Garfield Park,25108.48712,7267.930136,5823.73061,1170.952055,320.9917808,2401.771233,2519.749315,2558.479452,1919.620587,1837.771233,2771.606849,3156.649315,884.9219178,321.9945205,114.0,1856.809359,5038.043328,2077.850685,21308.13736,6894.852686,661.9005329,367.7489639,20035.74364,92.0,20881,20567,2014,0.8012914957937619,0.03106327511021827,0.017258616165594307,0.9402860185053735,0.004317599349284465,0.005350068758895967,0.26930370285796706,0.7306962972870686,0.3013625931731763
20,East Side,42536.27516,10219.98929,8978.389395,4674.48577,271.7042145,1919.766291,809.6935818,167.9254658,1943.650457,336.8073481,2443.760396,3632.043373,1040.488823,414.4753834,0.0,4697.856912,2193.623936,975.7184265,23482.52405,6891.480849,4077.432561,18581.38119,636.0,100.7102987,23653,23042,2014,0.8785126031183933,0.1736368949231418,0.7912855172823724,0.0270839709839454,0.004288733974489424,0.0,0.6816904835020605,0.3183095163528329,0.14158327475314442
21,Edgewater,42646.29284,34461.0,31269.0,2126.0,394.0,2166.0,3048.0,24549.0,1945.316602,17924.0,8989.0,4167.0,796.0,436.0,648.0,11363.0,17747.0,3202.0,55333.0,29110.0,29573.0,9019.0,8114.0,6733.0,62198,56521,2014,0.9073735527117611,0.5344550268375111,0.1629949578009506,0.14663943758697343,0.12168145591238501,0.0117109139211682,0.39034695980762624,0.6096530401923738,0.10999656475437994
22,Edison Park,83025.7145,6307.007287,5881.798154,3369.415265,29.59492864,77.375,221.516055,1189.239934,1952.567052,585.8012232,1446.418578,1696.228211,882.5592508,276.1339195,33.0,3649.600059,915.2125122,322.9445719,11031.17494,4564.812571,10171.98633,491.7447178,0.0,241.5116618,11328,11187,2014,0.9325814742791814,0.9221126838552339,0.04457772816356042,0.0,0.021893557405590378,0.002991521771659982,0.7995070996311449,0.20049290041266843,0.07074651300069774
23,Englewood,19102.82696,10166.0,7289.0,3318.0,449.0,5333.0,2265.0,3343.0,1941.273247,2643.0,4575.0,5043.0,1505.0,987.0,8.0,2904.0,6899.0,4950.0,28824.0,9803.0,170.0,275.0,28076.0,13.0,40222,30654,2014,0.7169978359236672,0.005897862892034416,0.009540660560643907,0.9740494032750485,0.0004510130446849847,0.0002775464890369137,0.29623584616953996,0.7037641538304601,0.5049474650617158
24,Forest Glen,90884.46373,9880.852134,9209.251905,5873.606452,255.5483871,406.0,228.0,383.0,1951.719766,385.0,1727.625806,3507.406452,1208.554839,317.5677419,27.0,5973.099099,829.7882883,341.8258065,18563.29122,6802.887387,13368.94915,2409.294299,300.0,2211.934515,18165,18508,2014,0.932030130611,0.7201820513162214,0.12978810009747832,0.016160927307803125,0.1191563763551192,0.0014544834577022814,0.8780241034732272,0.12197589657087175,0.0502471652188765
25,Fuller Park,15979.40459,1127.690782,752.4529398,319.9219713,36.78644764,508.8747433,209.3408624,494.2320329,1951.546153,510.9240246,407.301848,449.8932238,119.9425051,106.0944559,21.0,395.3684211,775.2631579,419.3264887,2994.659426,1170.631579,102.71218,176.4840962,2678.0,26.15593483,3420,2876,2014,0.6672511222141035,0.03429845113879738,0.058932943982792654,0.8942586181083818,0.00873419347886807,0.007012483562463039,0.33773941194866736,0.6622605880513326,0.3582053450652727
