MUNI,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,POP_25OV,HS,BACH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,HA_AFT2000,HA_90_70,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK,COMM_OTHER,WORK_FRM_HM,OWN_OCC_HU,RNT_OCC_HU,VAC_HU,TOT_POP,TOT_HH,AVG_HH_SIZE,WHITE,HISP,BLACK,ASIAN,OTHER,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,2010_POP,2000_POP,POP_CHANGE,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,AVG_VMT,HC_PCT,TR_PCT,HCTR_PCT,PARK_ACC,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,WATER,WATERperc,VACANT,VACperc,PRIV_EMP,EMP_CHANGE,PCT_CHANGE,PJOBS_HH,RET_SALES,RETSALES_PC,TOT_EAV,RES_EAV,FARM_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,MIN_EAV,WALKSCORE,PR_CNTY,CNTY_TOT_POP,CNTY_TOT_HH,CNTY_AVG_HH_SIZE,CNTY_2010_POP,CNTY_2000_POP,CNTY_POP_CHANGE,CNTY_MED_AGE,CNTY_WHITE,CNTY_HISP,CNTY_BLACK,CNTY_ASIAN,CNTY_OTHER,CNTY_UND19,CNTY_A20_34,CNTY_A35_49,CNTY_A50_64,CNTY_A65_79,CNTY_OV80,CNTY_INC_LT_25K,CNTY_INC_25_50K,CNTY_INC_50_75K,CNTY_INC_75_100K,CNTY_INC_100_150K,CNTY_INC_GT_150,CNTY_MEDINC,CNTY_POP_25OV,CNTY_HS,CNTY_BACH,CNTY_HU_TOT,CNTY_OWN_OCC_HU,CNTY_RNT_OCC_HU,CNTY_VAC_HU,CNTY_HU_SNG_DET,CNTY_HU_SNG_ATT,CNTY_HU_2UN,CNTY_HU_3_4UN,CNTY_HU_GT_5UN,CNTY_BR_0_1,CNTY_BR_2,CNTY_BR_3,CNTY_BR_4,CNTY_BR_5,CNTY_MED_ROOMS,CNTY_HV_LT_150K,CNTY_HV_150_300K,CNTY_HV_300_500K,CNTY_HV_GT_500K,CNTY_MED_HV,CNTY_HA_AFT2000,CNTY_HA_90_70,CNTY_HA_40_70,CNTY_HA_BEF1940,CNTY_MED_HA,CNTY_POP_16OV,CNTY_IN_LBFRC,CNTY_EMP,CNTY_UNEMP,CNTY_NOT_IN_LBFRC,CNTY_PRIV_EMP,CNTY_EMP_CHANGE,CNTY_PCT_CHANGE,CNTY_PJOBS_HH,CNTY_TOT_COMM,CNTY_DROVE_AL,CNTY_CARPOOL,CNTY_TRANSIT,CNTY_WALK,CNTY_COMM_OTHER,CNTY_WORK_FRM_HM,CNTY_AVG_VMT,CNTY_HC_PCT,CNTY_TR_PCT,CNTY_HCTR_PCT,CNTY_RET_SALES,CNTY_RETSALES_PC,CNTY_PARK_ACC,POP_HH,CNTY_POP_HH
Addison,2372,2698,2281,1626,1849,1125,59104,24179,18852,4990,28389,20348,18176,2172,8041,12549,7314,867,251,599,3518,5.6,1116,4226,2679,483,262500,889,6572,4918,170,1973,1421,3419,5058,2295,356,17195,13818,2435,608,187,147,260,8504,3447,598,36977,11951,3.078403481,18729,14350,1163,2434,301,10484,8320,6778,7146,3287,962,34.3,36942,35914,1028,14388,Manufacturing,Retail Trade,Health Care,Administration,Wholesale Trade,2307,1659,1445,1198,1195,23614,Manufacturing,Wholesale Trade,Transportation,Construction,Administration,6039,4105,2876,1496,1377,Chicago,Addison,Elk Grove,Elmhurst,Schaumburg,1754,1534,642,500,462,Chicago,Addison,Glendale Heights,Lombard,Carol Stream,2724,1534,612,567,520,"21,342",28.59746436,23.46567152,52.06313587,37.22565267,6242.715888,2264.587448,36.27567694,284.9905187,4.565168812,306.8981668,4.916100177,317.3790997,5.083990772,301.5985183,4.831206861,1281.847971,20.53349846,386.4612782,6.19059533,2.61461499,0.041882652,729.8396943,11.69106055,61.74265577,0.989035171,304.7559227,4.881784278,"24,625","-3,533",-12.5,2.06,"$669,572,309 ","$18,190 ","$1,169,485,325 ","$696,106,974 ","$187,330 ","$105,042,046 ","$367,978,840 ","$170,135 ",$0 ,54,DuPage,918608,335532,2.699456386,916924,904161,12763,38.2,645537,122069,40620,93446,16936,250350,172360,200994,187283,76143,31478,40311,61409,58070,49716,63493,62533,78538,613687,564253,281959,356370,251585,83947,20838,212825,44266,2790,10850,85040,43263,88537,118119,87474,18977,6.1,25926,101004,85338,39317,298500,32096,205571,97861,20842,1977,720466,514749,471187,43180,205717,509888,147,0.028838175,1.519640452,439422,359991,35691,29668,10111,3961,21764,20534,32.5,23.7,56.2,"$14,729,493,925 ","$16,111 ",46.5,36790,905754
Algonquin,750,1187,1757,1483,2706,2505,100269,19618,18743,9193,22755,17222,15501,1721,5533,10579,7841,1990,46,342,354,7.3,670,5165,3187,150,264000,2556,6825,942,256,1992,329,1622,3713,4234,681,14149,12287,1082,519,165,96,1063,9172,1216,191,29924,10388,2.880150173,23827,2584,744,2486,283,9067,4209,8128,5891,2260,369,38.8,30046,23276,6770,13855,Retail Trade,Health Care,Manufacturing,Education,Professional,1581,1488,1405,1258,1180,6572,Retail Trade,Accommodation and Food Service,Health Care,Manufacturing,Wholesale Trade,2368,1018,645,435,318,Chicago,Elgin,Schaumburg,Algonquin,Hoffman Estates,1519,1091,848,665,602,Algonquin,Lake in the Hills,Crystal Lake,Chicago,Elgin,665,430,377,321,301,"24,837",37.59588677,25.18989244,62.78577921,34.19593706,7949.952935,3706.60926,46.62429186,12.92168975,0.16253794,249.5677433,3.139235481,226.6495453,2.850954554,252.4699725,3.175741726,635.0440967,7.988023349,50.75882781,0.638479601,787.8534138,9.910164503,573.644777,7.21570029,243.0150435,3.056811097,1211.418566,15.23805959,"6,563","2,123",47.8,0.63,"$536,118,636 ","$18,032 ","$981,280,749 ","$777,644,853 ","$132,402 ","$186,100,950 ","$14,937,997 ","$162,236 ","$2,302,311 ",37,McHenry,308163,108950,2.814465351,308760,260077,48683,38,257757,35265,3352,7807,3982,91632,50334,74388,60190,24082,7537,14025,19095,19787,18618,22369,15056,77325,200749,185123,65182,116015,90267,18683,7065,90256,11666,1809,3226,8356,6575,25149,47475,30936,5880,6.6,14555,49945,20606,5161,233400,25420,58101,22160,10334,1986,235131,170628,153749,16702,64503,76677,518,0.680155989,0.703781551,143443,124413,11319,4282,2211,1218,7677,24095,32.9,26.1,59,"$2,840,262,460 ","$9,230 ",122.7,29919,306636
Alsip,1560,1793,1422,1131,1165,226,53487,12412,10865,1994,14915,10763,9293,1423,4152,7815,3927,391,0,445,3052,5.1,1255,3137,301,28,190100,215,4497,2952,151,1973,974,3024,2884,794,139,8938,7115,721,870,176,56,185,4721,2576,518,19264,7297,2.634096204,11600,4134,2799,486,245,5311,4380,3717,3324,1770,762,34.5,19277,19725,-448,10023,Health Care,Retail Trade,Manufacturing,Education,Accommodation and Food Service,1341,1308,1052,837,750,13772,Manufacturing,Wholesale Trade,Administration,Transportation,Retail Trade,3996,1845,1599,1325,1168,Chicago,Alsip,Oak Lawn,Blue Island,Tinley Park,2787,714,324,171,168,Chicago,Alsip,Oak Lawn,Tinley Park,Orland Park,3028,714,491,433,408,"18,859",21.63446332,23.40515312,45.03961645,33.41760587,4163.772348,1119.118092,26.8775043,205.5953843,4.937719142,250.108477,6.006775972,35.10003018,0.842986293,301.4111811,7.238896749,1212.49583,29.12012783,240.9432993,5.786658806,0.28146401,0.006759832,191.1463976,4.590702412,57.52278226,1.381506419,550.0494102,13.21036224,"13,520","1,381",11.4,1.85,"$263,558,490 ","$13,733 ","$598,824,867 ","$228,931,604 ","$5,130 ","$106,227,344 ","$263,068,560 ","$592,229 ",$0 ,55,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,19221,5114489
Antioch,786,696,631,843,1350,678,88504,9043,8537,2950,10612,7624,7032,574,2988,5313,3929,280,147,195,762,6.8,315,2725,716,49,231800,1899,2287,821,306,1991,393,1093,1728,1809,290,6517,5839,421,131,44,82,412,3805,1179,329,14185,4984,2.844301766,11940,991,355,637,262,4490,2401,3895,2358,769,272,36.2,14430,8788,5642,6437,Manufacturing,Retail Trade,Education,Health Care,Professional,914,730,698,660,473,3891,Education,Retail Trade,Accommodation and Food Service,Manufacturing,Administration,907,623,536,445,233,Chicago,Antioch,Waukegan,Gurnee,Libertyville,674,620,285,284,237,Antioch,Lindenhurst,Round Lake Beach,Lake Villa,Chicago,620,176,149,107,99,"25,059",32.78275201,26.12921951,58.91197152,49.52407283,5402.555466,1502.165579,27.80472295,46.36364973,0.858179986,201.6927657,3.733284498,44.86125016,0.830370932,174.9834508,3.238901515,142.1880298,2.631866173,95.27654052,1.76354581,777.4148606,14.38976176,689.3246711,12.75923358,263.3410489,4.874379366,1464.943619,27.11575343,"4,056",-527,-11.5,0.81,"$255,814,639 ","$18,379 ","$362,019,491 ","$294,554,345 ","$571,863 ","$55,846,289 ","$10,431,310 ","$615,684 ",$0 ,N/A,Lake,701282,240744,2.836531752,703462,644356,59106,36.7,457261,139349,45982,43561,15129,212510,122333,157503,135182,53650,20104,32485,42733,39601,32569,43445,49911,79085,446837,396196,186863,260020,184999,55745,19276,175104,30151,6591,7314,36113,23023,61273,89381,69365,16978,6.3,32915,71348,43510,37226,267700,39542,131250,65031,24197,1980,533705,379124,334641,33545,154581,272836,1803,0.665232647,1.133303426,317717,258487,30813,14235,10566,3616,21552,21984,36.6,24.7,61.3,"$9,247,597,406 ","$13,203 ",82,14176,682878
Arlington Heights,3802,5119,5658,4064,5708,5664,77121,53360,51006,27563,60215,40584,38023,2537,19631,31737,17567,2561,102,893,10572,6,2395,6663,9825,4196,343500,1529,15371,13362,1475,1971,5255,8105,9406,7291,1680,35414,30514,1766,2191,736,207,1874,23079,6936,1722,75221,30015,2.474795935,62096,4849,1247,5881,1148,18522,12189,16232,15301,8647,4330,42.1,75101,76031,-930,34924,Health Care,Retail Trade,Education,Professional,Manufacturing,4155,3757,3410,3273,3224,43449,Health Care,Professional,Retail Trade,Wholesale Trade,Education,10207,7934,4572,3305,3153,Chicago,Arlington Heights,Schaumburg,Elk Grove,Des Plaines,5385,4452,1523,1089,994,Arlington Heights,Chicago,Palatine,Mount Prospect,Schaumburg,4452,3839,2121,1548,1543,"17,229",30.02563044,23.16733583,53.19296626,14.65510799,10785.39232,6228.206083,57.74668085,663.9095865,6.155636872,610.7131423,5.662410083,900.9776955,8.353684953,707.7006768,6.561659101,349.8467347,3.243708938,360.6889369,3.344235667,0,0,720.1252103,6.67685689,77.71105814,0.720521385,165.5131976,1.534605257,"45,386","-4,944",-9.8,1.51,"$793,195,935 ","$10,563 ","$3,093,768,989 ","$2,181,305,538 ",$0 ,"$687,378,788 ","$224,364,941 ","$719,722 ",$0 ,53,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,74281,5114489
Aurora,9715,15014,11482,9304,9837,6934,62589,117029,90415,36165,141231,104893,94457,10317,36338,67251,40306,9556,3697,3102,10480,5.8,11983,22776,7146,1076,194300,12664,27864,13655,13068,1980,7428,19023,24368,14283,2149,89144,72148,8975,4630,1373,2018,3457,42981,19305,4965,196569,62286,3.12977234,78740,81583,18252,13394,4600,66884,44174,46109,26227,9857,3318,31,197899,142990,54909,68131,Manufacturing,Retail Trade,Health Care,Administration,Education,8936,8282,7246,6112,5473,55261,Administration,Health Care,Retail Trade,Manufacturing,Education,7332,7203,6574,6003,5770,Aurora,Chicago,Naperville,Batavia,St. Charles,12104,8019,6225,1931,1368,Aurora,Chicago,Naperville,Oswego,Joliet,12104,3088,2674,1638,1332,"20,931",30.05532106,23.65961756,53.71493862,17.48060197,29106.93073,11815.26759,40.5926262,612.2237835,2.103360843,1434.15014,4.927177494,1393.578527,4.787789341,1847.651974,6.347807642,1361.32644,4.676983815,556.4540361,1.91175786,3052.299614,10.48650454,3188.468279,10.95432668,868.7085427,2.984541897,2976.801807,10.22712369,"55,405",311,0.6,0.89,"$1,700,046,959 ","$8,761 ","$3,598,534,505 ","$2,730,761,797 ","$1,514,150 ","$582,824,054 ","$282,100,080 ","$1,334,424 ",$0 ,44,Kane,514891,170069,2.98945134,515269,404119,111150,34.7,304876,157032,27215,17173,8595,161812,97960,114861,89649,37814,12795,25063,35551,31452,23778,30376,23849,68674,323008,268307,102960,181587,129009,41060,11518,125036,18561,8028,6757,21946,15021,45352,65894,45708,9612,6.2,23541,64939,31399,9130,233800,39891,70848,41961,28887,1979,383386,271319,246279,24851,112067,160955,-3384,-2.059158203,0.946409987,230063,194377,21332,6283,4329,3742,11344,22228,32.5,24.7,57.2,"$4,875,361,438 ","$9,567 ",59.3,194941,508413
Bannockburn,34,25,31,4,39,143,166563,587,581,470,1303,672,634,35,631,317,266,11,0,5,35,9,2,0,4,216,1000001,35,82,147,53,1964,17,43,47,81,129,532,291,42,11,187,1,100,222,54,41,1456,276,2.652173913,1195,63,85,101,12,458,504,146,203,102,43,22.2,1583,1429,154,353,Education,Manufacturing,Health Care,Professional,Retail Trade,53,37,34,33,26,5029,Retail Trade,Education,Wholesale Trade,Administration,Finance,1342,620,585,547,410,Deerfield,Bannockburn,Chicago,Highland Park,Northbrook,56,28,26,22,19,Chicago,Aurora,Waukegan,Deerfield,Gurnee,665,262,186,157,119,"21,401",67.23506396,25.30525603,92.54031999,485.4600997,1310.359256,680.7330351,51.95010697,0,0,14.17633975,1.081866647,210.5088919,16.06497538,136.2967765,10.40148157,7.40715015,0.565276287,16.87127643,1.287530603,5.55026007,0.423567815,115.6015999,8.82213022,18.68470001,1.425921931,104.529226,7.977142571,N/A,N/A,N/A,N/A,"$48,479,808 ","$31,297 ","$178,431,413 ","$99,537,336 ","$548,694 ","$77,194,677 ","$1,150,706 ",$0 ,$0 ,N/A,Lake,701282,240744,2.836531752,703462,644356,59106,36.7,457261,139349,45982,43561,15129,212510,122333,157503,135182,53650,20104,32485,42733,39601,32569,43445,49911,79085,446837,396196,186863,260020,184999,55745,19276,175104,30151,6591,7314,36113,23023,61273,89381,69365,16978,6.3,32915,71348,43510,37226,267700,39542,131250,65031,24197,1980,533705,379124,334641,33545,154581,272836,1803,0.665232647,1.133303426,317717,258487,30813,14235,10566,3616,21552,21984,36.6,24.7,61.3,"$9,247,597,406 ","$13,203 ",82,732,682878
Barrington,531,371,626,377,692,1352,106127,7225,6954,4533,7899,5138,4719,419,2761,4320,3176,430,115,48,551,7.1,79,465,1246,1294,460500,359,1762,1414,785,1969,333,1037,1113,1319,518,4260,3324,200,560,123,53,424,3084,865,371,10739,3949,2.699670803,8881,891,29,804,134,3303,1233,2387,2133,1222,461,42,10327,10168,159,3935,Retail Trade,Professional,Health Care,Education,Manufacturing,419,414,401,398,371,7111,Education,Retail Trade,Health Care,Finance,Professional,1369,660,576,531,507,Chicago,Barrington,Schaumburg,Hoffman Estates,Arlington Heights,592,297,269,209,178,Chicago,Palatine,Barrington,Hoffman Estates,Schaumburg,381,302,297,256,195,"18,908",43.19851289,25.02014499,68.21865788,134.4969257,3064.112586,1495.712296,48.81388178,41.44606006,1.352628498,244.6951858,7.985841869,117.9815011,3.850429701,237.795454,7.760663072,76.34096968,2.49145446,61.70515202,2.013801722,35.02500153,1.143071625,387.7272433,12.65381843,108.8437164,3.552210087,256.8400069,8.38219875,"10,653",-972,-8.4,2.7,"$361,768,951 ","$34,014 ","$618,964,510 ","$435,950,072 ","$3,702 ","$148,410,568 ","$33,867,653 ","$732,515 ",$0 ,N/A,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,10661,5114489
Barrington Hills,82,272,104,216,259,620,114213,2879,2875,1570,3192,1861,1755,106,1331,1746,1741,5,0,0,0,9,36,17,74,1325,888000,359,720,329,338,1977,34,46,379,748,539,1542,1407,40,81,0,14,136,1452,101,193,3938,1553,2.531229878,3513,179,20,208,18,885,342,767,1167,715,62,49.6,4209,3915,294,1243,Health Care,Manufacturing,Retail Trade,Education,Professional,142,137,131,115,105,591,Professional,Finance,Wholesale Trade,Arts and Entertainment,Administration,92,86,71,58,57,Chicago,Hoffman Estates,Schaumburg,Barrington,Elgin,112,93,84,74,65,Chicago,Cary,Fox River Grove,Elgin,Algonquin,38,21,18,17,16,"26,064",67.23506396,25.30525603,92.54031999,1103.36182,17866.69617,8522.725339,47.70174215,0,0,3.73068106,0.020880643,0.134359,0.000752008,125.5589633,0.702754231,10.08807855,0.056463033,140.4144366,0.7859004,2112.441171,11.82334524,4146.250433,23.20658724,485.8632073,2.719379132,2319.489502,12.98219593,N/A,N/A,N/A,N/A,"$3,806,963 ",$990 ,"$486,873,695 ","$474,306,582 ","$9,174,162 ","$2,512,478 ","$590,502 ","$289,971 ",$0 ,N/A,Cook,5197677,1933670,2.644964756,5194675,5376741,-182066,35.3,2277287,1245329,1267825,325562,81674,1369782,1206113,1067068,928952,441858,183904,456264,436472,339402,235745,253222,212565,54648,3456817,2906668,1184199,2178739,1140135,793535,245069,869539,118595,218404,252173,703831,444707,688082,700183,259049,86718,5.2,236730,487756,272528,143121,244900,167141,525630,800325,685643,1957,4112868,2742562,2424917,316141,1370306,2073558,-143400,-6.46832281,1.072343264,2278500,1485736,221832,420010,124078,26844,93836,14774,26.9,19.6,46.5,"$49,351,405,982 ","$9,522 ",20.6,3931,5114489
Bartlett,1376,1922,1888,2144,3783,2715,96127,26809,24994,11502,31529,23515,21749,1724,8014,14164,9946,2274,135,531,887,7,1065,5290,5197,644,293700,2459,10509,841,355,1991,632,2643,5442,4657,790,20260,17574,1434,926,187,139,1227,12196,1632,336,41017,13828,2.960080995,29878,4337,1048,5325,429,12331,7123,10260,7908,2497,898,36.7,41208,36706,4502,23084,Manufacturing,Retail Trade,Health Care,Wholesale Trade,Professional,2677,2522,2365,1947,1925,5647,Wholesale Trade,Manufacturing,Retail Trade,Public Administration,Professional,855,756,654,469,468,Chicago,Elgin,Schaumburg,Bartlett,Elk Grove,3109,1364,1360,861,779,Bartlett,Elgin,Chicago,Hanover Park,Streamwood,861,488,308,232,228,"24,030",39.12817143,24.69372977,63.8219012,76.75754623,10056.4817,4052.811912,40.30049509,68.81205153,0.684255723,190.8262121,1.897544468,19.32202005,0.19213499,366.3662977,3.643086208,490.0848358,4.873323004,51.89768816,0.516062076,263.4439951,2.619643759,2713.051423,26.97813714,191.1291102,1.900556437,1648.73615,16.39476111,N/A,N/A,N/A,N/A,"$160,041,013 ","$3,944 ","$1,160,701,012 ","$1,068,468,623 ","$264,047 ","$64,745,980 ","$27,214,037 ","$8,325 ",$0 ,30,DuPage,918608,335532,2.699456386,916924,904161,12763,38.2,645537,122069,40620,93446,16936,250350,172360,200994,187283,76143,31478,40311,61409,58070,49716,63493,62533,78538,613687,564253,281959,356370,251585,83947,20838,212825,44266,2790,10850,85040,43263,88537,118119,87474,18977,6.1,25926,101004,85338,39317,298500,32096,205571,97861,20842,1977,720466,514749,471187,43180,205717,509888,147,0.028838175,1.519640452,439422,359991,35691,29668,10111,3961,21764,20534,32.5,23.7,56.2,"$14,729,493,925 ","$16,111 ",46.5,40932,905754
