GEOG,2000_POP,2010_POP,POP_CHANGE,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,POP_25OV,HS,BACH,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_EMP,EMP_CHANGE,PCT_CHANGE,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,PARK_ACC,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc
Addison,35914,36942,1028,37215.0,10748.0,8318.0,6597.0,7272.0,3335.0,945.0,33.9,18504.0,14951.0,1477.0,1954.0,329.0,37069.0,28334.0,19964.0,17622.0,2342.0,8370.0,267,16747.0,13786.0,2033.0,465.0,261.0,202.0,24098.0,18825.0,5003.0,2554.0,3405.0,1943.0,1674.0,1412.0,1314.0,53469.0,12302.0,8326.0,3976.0,705.0,13007.0,7227.0,840.0,231.0,762.0,3947.0,5.3,977.0,6199.0,5537.0,294.0,1972.0,1673.0,3876.0,5141.0,1920.0,397.0,1726.0,4382.0,1758.0,460.0,228700.0,14545.0,Manufacturing,Retail Trade,Health Care,Administration,Wholesale Trade,2184.0,1581.0,1509.0,1273.0,1229.0,24292.0,Manufacturing,Wholesale Trade,Transportation,Construction,Administration,6253.0,4153.0,2914.0,1812.0,1560.0,Chicago,Addison,Elk Grove Village,Schaumburg,Out of Region,1741.0,1495.0,599.0,581.0,508.0,Chicago,Out of Region,Unincorporated,Addison,Glendale Heights,2859.0,2060.0,1765.0,1495.0,618.0,30.09317,20.18655,50.27972,38.6167,10.94043,49.55713,50.71653,28.03945,78.75598,36.98545,19.00589,55.99134,24326.0,-3015.0,-11.02739475512966,19171.61915,954711046,559853119,91846560,300842740,298780,142331,0,952983530,54,21.82988284,6385.820109,1727.787291,27.0566233,239.6325925,3.752573489,0,0,323.4881553,5.065726089,300.8945368,4.711916897,1267.32845,19.84597794,1580.093016,24.74377589,0.351814069,0.005509301,806.4461546,12.62870142,139.7980983,2.189195685
Algonquin,23276,30046,6770,30189.0,8826.0,4416.0,7763.0,6314.0,2381.0,489.0,39.9,25013.0,2011.0,515.0,2265.0,385.0,30188.0,23312.0,17548.0,15797.0,1751.0,5764.0,1015,14597.0,12824.0,1086.0,474.0,134.0,79.0,19708.0,18861.0,8755.0,776.0,1383.0,1611.0,1387.0,2512.0,2724.0,100534.0,10393.0,9199.0,1194.0,485.0,10878.0,7869.0,2204.0,54.0,309.0,442.0,7.3,2848.0,6879.0,817.0,334.0,1993.0,367.0,1844.0,3548.0,4314.0,805.0,1266.0,5231.0,2537.0,165.0,242200.0,14390.0,Retail Trade,Manufacturing,Health Care,Education,Wholesale Trade,1638.0,1516.0,1495.0,1235.0,1174.0,6427.0,Retail Trade,Accommodation and Food Service,Health Care,Manufacturing,Professional,2443.0,1064.0,695.0,420.0,299.0,Chicago,Elgin,Out of Region,Schaumburg,Algonquin,1509.0,996.0,966.0,868.0,580.0,Out of Region,Unincorporated,Algonquin,Lake in the Hills,Crystal Lake,728.0,595.0,580.0,425.0,382.0,32.55508,23.5686,56.12368,41.7408,14.68696,56.42776,56.91307,34.23273,91.14581,40.08605,23.00195,63.08801,6676.0,1550.0,30.23800234100663,24253.21625,758002778,614951665,150078586,10302225,236556,73025,2169365,777811422,37,29.05349023,7939.624491,3174.205366,39.97928831,10.06094648,0.126718165,0,0,529.2222035,6.665582285,420.3057457,5.293773606,730.9721277,9.206633495,1347.263523,16.96885696,352.7452212,4.442845145,876.7458428,11.04266132,498.1035142,6.273640709
Alsip,19725,19277,-448,19385.0,5192.0,4683.0,3369.0,3626.0,1778.0,737.0,34.0,11569.0,4318.0,2954.0,281.0,263.0,19351.0,15434.0,10631.0,9292.0,1339.0,4803.0,121,9018.0,7161.0,711.0,886.0,170.0,90.0,12555.0,10753.0,1911.0,1582.0,1691.0,1356.0,933.0,1166.0,275.0,53584.0,7003.0,4397.0,2606.0,448.0,7451.0,3655.0,382.0,13.0,465.0,2936.0,5.1,287.0,4425.0,2623.0,116.0,1974.0,824.0,2934.0,2787.0,741.0,165.0,1636.0,2666.0,95.0,0.0,165700.0,9297.0,Health Care,Retail Trade,Manufacturing,Education,Accommodation and Food Service,1389.0,1054.0,886.0,815.0,734.0,14099.0,Manufacturing,Wholesale Trade,Administration,Transportation,Construction,3846.0,2025.0,1732.0,1681.0,1017.0,Chicago,Alsip,Out of Region,Oak Lawn,Unincorporated,2847.0,597.0,559.0,314.0,211.0,Chicago,Out of Region,Unincorporated,Alsip,Oak Lawn,3224.0,1420.0,665.0,597.0,476.0,28.81225,20.47006,49.2823,36.98463,11.11442,48.09905,48.0848,28.49582,76.58062,35.37479,19.30306,54.67784,14280.0,1405.0,10.912621359223301,18086.15339,351746365,188032931,96490972,206717346,536562,4915,0,491782726,55,12.78127516,4156.181333,818.3764591,19.69058598,149.0892682,3.587169476,4.787040817,0.115178825,304.8539258,7.334952481,253.826872,6.10721361,1207.259709,29.04733003,922.1032036,22.18630829,0,0,246.3846415,5.928149466,249.5002135,6.003111835
Antioch,8788,14430,5642,14395.0,4649.0,2377.0,3870.0,2284.0,968.0,247.0,35.9,12175.0,1052.0,236.0,580.0,352.0,14377.0,10631.0,7676.0,7122.0,545.0,2955.0,422,6595.0,5795.0,430.0,246.0,45.0,79.0,9080.0,8668.0,2947.0,878.0,776.0,730.0,751.0,1082.0,860.0,78942.0,5077.0,3797.0,1280.0,384.0,5461.0,3942.0,346.0,91.0,229.0,853.0,6.4,1939.0,2614.0,683.0,225.0,1993.0,383.0,1291.0,1892.0,1670.0,225.0,721.0,2624.0,434.0,18.0,205200.0,6758.0,Manufacturing,Retail Trade,Education,Health Care,Accommodation and Food Service,925.0,824.0,715.0,676.0,493.0,4313.0,Retail Trade,Education,Accommodation and Food Service,Manufacturing,Finance,937.0,869.0,601.0,453.0,253.0,Chicago,Antioch,Out of Region,Unincorporated,Waukegan,663.0,614.0,589.0,495.0,361.0,Out of Region,Antioch,Unincorporated,Round Lake Beach,Chicago,1030.0,614.0,496.0,178.0,136.0,28.86769,23.63973,52.50742,37.12141,14.66217,51.78358,49.71405,34.23388,83.94793,35.55128,23.02243,58.57371,4342.0,-228.0,-4.989059080962801,24947.77904,389587629,248951540,47835214,8837672,485979,638009,0,306748414,N/A,61.00018991,5501.961385,1776.103888,32.28128595,45.14116081,0.820455791,3.088673736,0.056137685,265.8319824,4.831585752,191.1438438,3.474103695,115.3255879,2.096081377,769.7921128,13.99123074,773.9432309,14.06667871,880.2327404,15.99852632,681.3581646,12.38391397
Arlington Heights,76031,75101,-930,75577.0,17950.0,12751.0,15525.0,15795.0,9012.0,4544.0,42.4,62903.0,4577.0,1193.0,5917.0,987.0,74597.0,61233.0,41260.0,38493.0,2740.0,19973.0,2152,35689.0,30749.0,1707.0,2419.0,662.0,152.0,54356.0,52198.0,29349.0,3819.0,5146.0,5261.0,4310.0,5417.0,6330.0,78865.0,30283.0,22994.0,7289.0,1300.0,31583.0,17415.0,2325.0,172.0,826.0,10845.0,6.0,1631.0,15085.0,13558.0,1309.0,1971.0,5206.0,8250.0,9585.0,6971.0,1571.0,3537.0,6975.0,9293.0,3189.0,317600.0,35444.0,Health Care,Education,Professional,Retail Trade,Manufacturing,4135.0,3666.0,3607.0,3525.0,3267.0,44034.0,Retail Trade,Health Care,Professional,Education,Accommodation and Food Service,11927.0,9183.0,4105.0,3232.0,2295.0,Chicago,Arlington Heights,Schaumburg,Out of Region,Elk Grove Village,5541.0,4066.0,1775.0,1309.0,1115.0,Chicago,Arlington Heights,Unincorporated,Out of Region,Palatine,6188.0,4066.0,2450.0,2114.0,1948.0,31.72776,20.14724,51.875,41.03375,10.93288,51.96662,54.13219,28.04312,82.17531,38.90596,18.98171,57.88767,48028.0,1274.0,2.724900543269025,17336.51323,1201101923,1810960146,577544679,114654036,1037926,22982,0,2504219769,53,9.983068581,10647.58872,4539.614496,42.63514132,631.8579921,5.934282483,12.383285,0.116301308,1185.336836,11.13244385,651.6231305,6.119912666,367.3488659,3.450066261,2389.670005,22.44329743,0.466116416,0.004377671,751.378187,7.056791983,117.9098027,1.107385023
Aurora,142990,197899,54909,199878.0,66848.0,44078.0,46429.0,28343.0,10969.0,3211.0,31.4,76317.0,85314.0,19632.0,14317.0,4298.0,198264.0,144689.0,105737.0,95218.0,10462.0,38952.0,3611,89080.0,71817.0,10752.0,4268.0,1260.0,983.0,119243.0,91146.0,37158.0,9712.0,14182.0,11462.0,8285.0,10046.0,7819.0,63569.0,61506.0,41489.0,20017.0,5273.0,66779.0,39890.0,9622.0,3396.0,3200.0,10536.0,5.7,12553.0,27411.0,13482.0,13333.0,1979.0,7100.0,19508.0,24064.0,13509.0,2598.0,15471.0,19398.0,5763.0,857.0,174000.0,75444.0,Manufacturing,Retail Trade,Health Care,Administration,Professional,9217.0,8767.0,8700.0,7577.0,5824.0,62196.0,Administration,Health Care,Retail Trade,Manufacturing,Education,9967.0,9479.0,6531.0,6264.0,6143.0,Aurora,Chicago,Naperville,Out of Region,Unincorporated,13795.0,8428.0,6281.0,4845.0,3178.0,Aurora,Out of Region,Unincorporated,Chicago,Naperville,13795.0,8597.0,5046.0,3907.0,2819.0,30.18905,21.07534,51.26439,38.63583,11.90177,50.5376,50.93738,29.67689,80.61426,36.89039,20.05521,56.9456,59212.0,4741.0,8.70371390281067,20149.96369,2166344076,2650743397,568824444,313164349,1565786,1120219,0,3535418195,44,17.73568065,29307.10151,9730.932457,33.20332601,578.7970258,1.9749378,11.28428227,0.038503577,1677.399708,5.723526456,2089.116564,7.128362945,2111.557711,7.20493533,6210.243171,21.19023326,1936.585887,6.607906572,3518.832867,12.00675838,1442.351835,4.921509671
Bannockburn,1429,1583,154,1460.0,577.0,434.0,136.0,188.0,97.0,28.0,21.3,1154.0,76.0,64.0,110.0,56.0,746.0,1326.0,699.0,660.0,36.0,627.0,174,478.0,253.0,34.0,14.0,169.0,8.0,574.0,562.0,458.0,40.0,39.0,27.0,13.0,28.0,136.0,139464.0,283.0,193.0,90.0,48.0,331.0,241.0,11.0,0.0,5.0,74.0,9.0,27.0,125.0,140.0,39.0,1968.0,50.0,42.0,24.0,79.0,136.0,3.0,0.0,6.0,184.0,1000001.0,343.0,Education,Wholesale Trade,Professional,Retail Trade,Health Care,52.0,45.0,41.0,33.0,25.0,4843.0,Retail Trade,Finance,Education,Wholesale Trade,Professional,1219.0,762.0,751.0,630.0,283.0,Deerfield,Northbrook,Bannockburn,Chicago,Highland Park,45.0,34.0,28.0,24.0,19.0,Chicago,Out of Region,Unincorporated,Aurora,Waukegan,507.0,441.0,336.0,256.0,201.0,39.21911,23.48703,62.70614,49.20932,14.50675,63.71606,77.07011,33.74373,110.81384,48.59152,22.78283,71.37435,,,,18847.76264,74088530,87195013,59156315,1052468,0,750421,0,148154217,N/A,74.07983399,1306.141699,666.167402,51.00269001,0,0,0,0,183.2781699,14.03202807,128.8345971,9.863753462,26.21888974,2.00735416,125.5711949,9.613902916,5.155203482,0.394689449,117.3177712,8.982009473,53.59847104,4.103572459
Barrington,10168,10327,159,10830.0,3391.0,964.0,2421.0,2158.0,1139.0,757.0,42.3,9344.0,658.0,26.0,731.0,71.0,10632.0,8088.0,5159.0,4758.0,401.0,2929.0,549,4187.0,3281.0,218.0,481.0,150.0,57.0,7152.0,6865.0,4553.0,502.0,367.0,453.0,361.0,744.0,1382.0,110469.0,3809.0,2872.0,937.0,460.0,4269.0,3115.0,351.0,150.0,37.0,616.0,7.2,530.0,1530.0,1490.0,719.0,1969.0,339.0,1027.0,1002.0,1356.0,545.0,155.0,366.0,1019.0,1332.0,475400.0,4283.0,Professional,Retail Trade,Manufacturing,Education,Health Care,462.0,438.0,436.0,403.0,398.0,9872.0,Information,Education,Health Care,Retail Trade,Construction,1938.0,1397.0,892.0,884.0,632.0,Chicago,Schaumburg,Barrington,Out of Region,Hoffman Estates,621.0,290.0,282.0,217.0,193.0,Unincorporated,Chicago,Out of Region,Hoffman Estates,Palatine,848.0,688.0,624.0,364.0,357.0,31.95444,22.80682,54.76126,39.85342,13.80371,53.65713,61.64956,32.71498,94.36454,39.60913,22.08348,61.69261,10920.0,-914.0,-7.7235085347304375,18853.5478,470885274,379447881,150863657,7036349,1212281,2348,0,538562516,N/A,50.9815847,3074.370909,1140.341731,37.09187228,72.87500051,2.370403658,2.254327368,0.07332646,290.3361595,9.443758351,223.2552574,7.261819215,95.36988926,3.102094447,609.9769976,19.84070939,14.44463318,0.469840289,528.0444275,17.17569035,97.47248567,3.170485558
Barrington Hills,3915,4209,294,3653.0,717.0,383.0,682.0,962.0,810.0,99.0,50.5,3290.0,5.0,50.0,308.0,0.0,3636.0,3091.0,1835.0,1750.0,85.0,1256.0,200,1480.0,1241.0,104.0,114.0,1.0,20.0,2728.0,2685.0,1593.0,52.0,270.0,133.0,144.0,210.0,609.0,120192.0,1418.0,1394.0,24.0,165.0,1583.0,1579.0,4.0,0.0,0.0,0.0,9.0,183.0,733.0,405.0,262.0,1975.0,20.0,69.0,403.0,583.0,508.0,53.0,54.0,137.0,1150.0,760600.0,1280.0,Manufacturing,Health Care,Professional,Wholesale Trade,Retail Trade,143.0,140.0,126.0,117.0,116.0,796.0,Construction,Finance,Professional,Accommodation and Food Service,Wholesale Trade,146.0,136.0,87.0,81.0,65.0,Chicago,Schaumburg,Barrington,Hoffman Estates,Out of Region,119.0,97.0,94.0,83.0,59.0,Unincorporated,Out of Region,Carpentersville,Chicago,Cary,82.0,51.0,44.0,44.0,33.0,33.29073,23.78748,57.0782,41.86355,14.67921,56.54277,59.10612,34.31075,93.41687,40.81094,23.14575,63.95668,,,,23595.4414,4177119,393143428,3068503,397910,605400,9095211,0,406310452,N/A,1013.341942,17941.21148,9384.969125,52.30956189,0.513293705,0.002860976,0,0,4.306189333,0.024001664,180.9496838,1.00857004,18.35823314,0.102324378,841.0309535,4.687704363,2340.932597,13.04779557,4265.162744,23.77299185,904.9886644,5.044189269
Bartlett,36706,41208,4502,41529.0,12189.0,6704.0,10369.0,8394.0,2861.0,1012.0,38.1,29220.0,4786.0,821.0,6229.0,473.0,41465.0,32017.0,23647.0,21986.0,1661.0,8370.0,1431,20332.0,17771.0,1395.0,1000.0,123.0,43.0,27635.0,25635.0,12070.0,1185.0,2009.0,1807.0,2365.0,3481.0,2950.0,94919.0,13797.0,12262.0,1535.0,530.0,14327.0,9977.0,2369.0,83.0,744.0,744.0,6.9,2270.0,10608.0,1068.0,381.0,1991.0,510.0,2736.0,5727.0,4797.0,557.0,1319.0,6712.0,3751.0,480.0,260400.0,22392.0,Health Care,Manufacturing,Retail Trade,Professional,Wholesale Trade,2464.0,2415.0,2299.0,2055.0,1807.0,6541.0,Wholesale Trade,Manufacturing,Health Care,Public Administration,Construction,1113.0,910.0,600.0,530.0,499.0,Chicago,Schaumburg,Elgin,Out of Region,Bartlett,3152.0,1406.0,1361.0,1031.0,917.0,Bartlett,Elgin,Out of Region,Unincorporated,Chicago,917.0,543.0,442.0,409.0,386.0,32.31978,22.64484,54.96462,41.19291,13.50364,54.69655,57.21076,32.49001,89.70077,39.8276,21.8732,61.7008,,,,23168.86207,221292294,877445263,52440441,19963064,14619,174456,0,950037843,30,66.85789962,10151.08786,3474.436578,34.22723383,121.3127878,1.195071795,3.897637455,0.038396254,186.3179187,1.835447799,412.0158487,4.058834427,738.4449559,7.274540091,1666.154875,16.41355979,288.2424184,2.839522448,2749.394257,27.08472526,510.8705806,5.032668299
